B;1;LAVORI  STRADALI E INFRASTRUTTURE A RETE;;;;;
;;;;;;;
;;;;;;;
;;PREMESSA;;;;;
;;Per tutte le categorie di lavori non comprese nel presente capitolo, dovranno essere adottati i prezzi dei capitoli di opere edili, con eventuali maggiorazioni o riduzioni se stabilite dal Capitolato Speciale d'Appalto.;;;;;
;;;;;;;
B;1.01.;TRATTAMENTI SU OPERE ESISTENTI;;;;;
;;;;;;;
B;1.01.1.;Fresatura di pavimentazioni stradali di qualsiasi tipo, compresi gli oneri necessari per poter consegnare la pavimentazione fresata e pulita:;;;;;
B;1.01.1.a.;al mq per ogni cm di spessore;mq/cm;€ 1,32;;;
B;1.01.1.b.;per superfici inferiori a 3.000 mq;mq/cm;€ 1,75;;;
;;;;;;;
B;1.01.2.;Taglio della pavimentazione in conglomerato bituminoso, eseguita secondo una sagoma prestabilita con l'impiego di macchine speciali a lama diamantata nel senso longitudinale del piano viabile con esclusione degli impalcati di opere d'arte, compresa l'acqua necessaria al raffreddamento della lama e la perfetta pulizia del taglio, nonché l'onere della prescritta segnaletica, del pilotaggio del traffico e quanto altro occorra per dare il lavoro compiuto a perfetta regola d'arte.;m/cm;€ 0,73;;;
;;;;;;;
B;1.01.3.;Demolizione di sottofondi stradali in calcestruzzo di  qualsiasi  specie, con qualunque mezzo compreso il martello demolitore in presenza di traffico ed eventuali sottoservizi, escluso il trasporto a discarica:;;;;;
B;1.01.3.a.;cls armato spessore da 20 a 30 cm.;mq;€ 116,17;;;
B;1.01.3.b.;cls armato non armato spessore da 20 a 30 cm.;mq;€ 50,18;;;
;;;;;;;
B;1.01.4.;Rimozione di pavimentazione in cubetti di porfido o selce, a mano e/o con l'ausilio di mezzi meccanici, compreso ogni onere e magistero, con accatastamento dei cubetti di recupero nei luoghi indicati dalla D.L.,  con asporto della sabbia di allettamento e pulizia del fondo:;;;;;
B;1.01.4.a.;per cubetti fino a 8x8 cm;mq;€ 13,04;;;
B;1.01.4.b.;per cubetti fino a 12x12 cm;mq;€ 15,95;;;
;;;;;;;
B;1.01.5.;Rimozione di cigli stradali, in pietra, travertino, granito, ecc. compreso il carico su mezzo di trasporto;m;€ 10,14;;;
;;;;;;;
B;1.01.6.;Rimozione di pavimentazione in lastre di pietra dello spessore medio di 5 cm, poste in malta  o sabbia, compreso l'onere dell'allontanamento del materiale di risulta, nell’ambito del cantiere, eseguita a mano;mq;€ 42,40;;;
;;;;;;;
B;1.01.7.;Rimozione d'opera di griglia in ferro, compresa la rimozione del telaio mediante scalpellatura del calcestruzzo o malta o altro materiale di fissaggio, compreso l'onere dell'allontanamento del materiale di risulta in luoghi indicati dalla D.L.;kg;€ 2,56;;;
;;;;;;;
B;1.01.8.;Rimozione d'opera di cunette, compreso ogni scavo laterale occorrente per lo scalzo, la demolizione dei giunti in cemento e del massetto di rinfianco, compreso l'onere dell'allontanamento del materiale di risulta in luoghi indicati dalla D.L.:;;;;;
B;1.01.8.a.;in lastre di pietra (con recupero delle stesse)  ;mq;€ 30,94;;;
B;1.01.8.b.;in lastre di cemento prefabbricato (con recupero delle stesse);mq;€ 36,08;;;
;;;;;;;
B;1.01.9.;Rimozione d'opera di chiusini o griglie in ghisa, compresa la rimozione del telaio mediante scalpellatura del calcestruzzo o malta o altro materiale di fissaggio, compreso l'onere dell'allontanamento del materiale di risulta in luoghi indicati dalla D.L.;;;;;
B;1.01.9.a.;del peso fino a 100 kg;cad;€ 82,42;;;
B;1.01.9.b.;del peso superiore a 100 kg ;cad;€ 123,61;;;
;;;;;;;
B;1.01.10.;Rimozione d'opera di chiusini o griglie in ghisa, compresa la rimozione del telaio mediante scalpellatura del calcestruzzo o malta o altro materiale di fissaggio, nei centri storici in presenza di traffico, compreso l'onere dell'allontanamento del materiale di risulta in luoghi indicati dalla D.L.;;;;;
B;1.01.10.a.;del peso fino a 100 kg;cad;€ 93,92;;;
B;1.01.10.b.;del peso superiore a 100 kg ;cad;€ 140,87;;;
;;;;;;;
