;D;IMPIANTI ELETTRICI;;;;;
;;;;;;;
;D.1;IMPIANTI  NEGLI  EDIFICI  RESIDENZIALI;;;;;
;;;;;;;
;;AVVERTENZE;;;;;
;;Per quanto riguarda il capitolo «Distribuzione circuiti luce» occorre innanzitutto effettuare la scelta fra il tipo di impianto;;;;;
;;A) - sottotraccia;;;;;
;;B) - in vista;;;;;
;;Effettuata questa scelta, al prezzo base devono essere aggiunti i necessari incrementi secondo le soluzioni tecniche previste. Per esempio se si vuol contabilizzare l'impianto elettrico di un ambiente in cui vi sono 2 punti luce comandati da un interruttore, realizzati sottotraccia con conduttori di tipo normale ed in cui si vuole tener conto dell'incidenza delle linee dorsali e delle opere murarie, il prezzo complessivo si dovrà calcolare come segue:;;;;;
;D 1.01.1.a;Punto luce;;;;;
;;n. 2 x  15,49;=;€ 38,73;;;
;D 1.01.1.c;Punto di comando;;;;;
;;n. 1 x   8,06;=;€ 10,08;;;
;D 1.01.2.b;Incremento per dorsale;;;;;
;;n. 2 x  10,54;=;€ 26,35;;;
;D 1.01.3.a;Incremento per op. murarie sul punto luce;;;;;
;;n. 2 x  6,82;=;€ 17,05;;;
;D 1.01.3.b;Incremento per op. murarie sul punto di comando ;;;;;
;;n. 1 x  4,03;=;€ 5,04;;;
;;Totale;;€ 97,24;;;
;;;;;;;
;;Il criterio è applicabile anche per il capitolo «Distribuzione circuiti F.M» facendo attenzione che, nei casi in cui si utilizza la descrizione per i punti presa monofase, che la presa vera e propria va calcolata a parte. Ad esempio: Si ipotizzi che in un ambiente si debba realizzare un impianto in vista, con grado di protezione IP55, tubazione filettata in PVC, conduttori del tipo non propagante l'incendio e si preveda una presa 2x10/16A+T ed una presa CEE metallica con blocco e fusibili da 16A. Il prezzo va così calcolato:;;;;;
;D 1.02.4.a;Punto presa 2x10/16A+T;;;;;
;;n. 1 x  21,69;=;€ 27,11;;;
;D 1.02.4.c;Punto presa  monofase;;;;;
;;n. 1 x  17,66;=;€ 22,08;;;
;D 1.02.5.a;Incremento per IP55;;;;;
;;n. 2 x  6,20;=;€ 15,50;;;
;D 1.02.6.b;Incremento per dorsale;;;;;
;;n. 2 x  8,06;=;€ 20,15;;;
;D 1.02.12.a;Presa CEE;;;;;
;;n. 1 x  61,97;=;€ 77,46;;;
;;Totale;;€ 162,30;;;
;;;;;;;
;;In entrambi i capitoli sono previste anche le sostituzioni di punti luce e di punti presa, quando si effettuano adeguamenti che non interessano opere di rifacimento integrale degli impianti. L'applicazione del prezzo relativo all'incremento per quota di linea dorsale non va eseguita nel caso di un numero di punti luce e di punti presa inferiore o uguale a 4 appartenenti allo stesso circuito. In tale eventualità la linea dorsale va compensata con;;;;;
;;;;;;;
;;l'utilizzo dei prezzi descritti ai capitoli «Cavi e conduttori» e «Canalizzazioni e scatole». Il capitolo «Distribuzione circuiti servizi» prevede la voce fondamentale che è il punto presa di servizio, in vista o in traccia, il quale va incrementato delle voci riferentesi al servizio specifico. La posizione dei terminali (interruttori, pulsanti, prese, centralini, ecc.) dovrà rispettare la normativa vigente, compresa quella volta a garantire l'accessibilità.;;;;;
;;;;;;;
;D 1.01.;DISTRIBUZIONE CIRCUITI LUCE;;;;;
;;;;;;;
;D 1.01.1;Punto luce e punto di comando sottotraccia esclusa la linea dorsale comprensivo delle scatole di derivazione e morsetti a mantello, conduttori del tipo  FS17 di sezione minima di fase e di terra pari a 1,5 mm², scatola portafrutto, cestello, incassata a muro, frutto, tubazione in pvc autoestinguente incassata sotto intonaco diametro minimo 20 mm .Posto in opera a regola d'arte, escluse le opere murarie, incluso quanto altro occorra per dare l'opera finita a regola d'arte.;;;;;
;D 1.01.1.a;punto luce comandato direttamente dal quadro o derivato (semplice); cad;€ 19,36;;;
;D 1.01.1.b;punto luce con doppia linea di alimentazione (doppio); cad;€ 20,91;;;
;D 1.01.1.c;punto di comando (interruttore, pulsante, deviatore ,invertitore  ecc.); cad;€ 10,08;;;
;D 1.01.1.d;compenso per ogni frutto in più sulla stessa scatola portafrutto; cad;€ 7,75;;;
;;;;;;;
;D 1.01.2;Incremento al punto luce in traccia per quota linea dorsale da applicare in presenza di un numero di punti luce superiore a 4 derivati dallo stesso circuito realizzata sottotraccia con conduttori tipo FS17 con tubazioni e scatole in pvc autoestinguente incassate sotto intonaco, morsetti di derivazione a mantello, il tutto dal quadro di piano, incluso ogni onere per dare l'opera finita a regola d'arte ed anche le eventuali opere murarie di scasso e ripristino della muratura esistente di qualsiasi tipo esclusa quella in pietra, compresa la rasatura ed esclusa la tinteggiatura.;;;;;
;D 1.01.2.a.;escluse le opere murarie; cad;€ 4,65;;;
;D 1.01.2.b.;incluse le opere murarie con conduttori tipo FS17; cad;€ 13,18;;;
;;;;;;;
