PARTE E - IMPIANTI TECNOLOGICI;;;;;
;;;;;
E01. IMPIANTI IDRO-SANITARI E GAS DOMESTICO;;;;;
;TUBAZIONI IN ACCIAIO;;;;
;Tubo in acciaio senza saldatura a norma UNI EN 10255, zincato a caldo a norma EN 10240-A1 ed al DM Ministero della Salute 6/4/2004 N. 174, filettato e con manicotto, lavorato e posto in opera (sino ad un'altezza di 3,00 m dal piano di lavoro) tagliato a misura, comprese eventuali cravatte a muro, verniciatura, saldatura e quanto altro necessario per dare il lavoro finito a regola d'arte, esclusi gli scavi, rinterri, tracce e raccorderia:;;;;
E01001;serie leggera:;;;;
E01001a;"diametro nominale 3/8"", spess. 2 mm";m;€ 10,72;;
E01001b;"diametro nominale 1/2"", spess. 2,3 mm";m;€ 15,34;;
E01001c;diametro nominale 3/4'', spess. 2,3 mm;m;€ 19,08;;
E01001d;diametro nominale 1'', spess. 2,9 mm;m;€ 28,03;;
E01001e;"diametro nominale 1 1/4"", spess. 2,9 mm";m;€ 35,97;;
E01001f;"diametro nominale 1 1/2"", spess. 2,9 mm";m;€ 41,52;;
E01001g;diametro nominale 2'', spess. 3,2 mm;m;€ 57,72;;
E01001h;"diametro nominale 2 1/2"", spess. 3,2 mm";m;€ 75,43;;
E01001i;"diametro nominale 3"", spess. 3,6 mm";m;€ 99,04;;
E01001j;"diametro nominale 4"", spess. 4 mm";m;€ 134,34;;
E01002;serie media:;;;;
E01002a;"diametro interno 3/8"", spessore 2,3 mm";m;€ 12,52;;
E01002b;"diametro interno 1/2"", spessore 2,6 mm";m;€ 16,41;;
E01002c;"diametro interno 3/4"", spessore 2,6 mm";m;€ 20,25;;
E01002d;"diametro interno 1"", spessore 3,2 mm";m;€ 28,99;;
E01002e;"diametro interno 1""1/4, spessore 3,2 mm";m;€ 36,78;;
E01002f;"diametro interno 1""1/2, spessore 3,2 mm";m;€ 42,23;;
E01002g;"diametro interno 2"", spessore 3,6 mm";m;€ 59,37;;
E01002h;"diametro interno 2""1/2, spessore 3,6 mm";m;€ 77,30;;
E01002i;"diametro interno 3"", spessore 4 mm";m;€ 100,54;;
E01002j;"diametro interno 4"", spessore 4,5 mm";m;€ 138,12;;
E01002k;"diametro interno 5"", spessore 5 mm";m;€ 200,53;;
E01002l;"diametro interno 6"", spessore 5 mm";m;€ 256,13;;
E01003;serie pesante:;;;;
E01003a;"diametro nominale 1/2"", spess. 3,2 mm";m;€ 17,87;;
E01003b;"diametro nominale 3/4"", spess. 3,2 mm";m;€ 22,05;;
E01003c;"diametro nominale 1"", spess. 2,9 mm";m;€ 31,36;;
E01003d;"diametro nominale 1""1/4, spess. 4,0 mm";m;€ 39,88;;
E01003e;"diametro nominale 1""1/2, spess. 4,0 mm";m;€ 45,62;;
E01003f;"diametro nominale 2"", spess. 4,0 mm";m;€ 66,22;;
E01003g;"diametro nominale 2""1/2, spess. 4,5 mm";m;€ 85,08;;
E01003h;"diametro nominale 3"", spess. 5,0 mm";m;€ 111,39;;
E01003i;"diametro nominale 4"", spess. 5,4 mm";m;€ 180,92;;
;Tubo in acciaio senza saldatura a norma UNI EN 10255, zincato a norma EN 10240-A1 ed al DM Ministero della Salute 6/4/2004 N. 174, filettato, serie leggera, lavorato e posto in opera (sino ad un'altezza di 3,00 m dal piano di lavoro) tagliato a misura, comprese eventuali cravatte a muro, verniciatura, saldatura e quanto altro necessario per dare il lavoro finito a regola d'arte, esclusi gli scavi, rinterri, tracce e raccorderia:;;;;
E01004;rivestito esternamente in polietilene doppio strato:;;;;
E01004a;"diametro nominale 1/2"", spess. 2,3 mm";m;€ 18,20;;
E01004b;diametro nominale 3/4'', spess. 2,3 mm;m;€ 22,52;;
E01004c;diametro nominale 1'', spess. 2,9 mm;m;€ 31,45;;
E01004d;"diametro nominale 1 1/4"", spess. 2,9 mm";m;€ 39,33;;
E01004e;"diametro nominale 1 1/2"", spess. 2,9 mm";m;€ 45,30;;
E01004f;diametro nominale 2'', spess. 3,2 mm;m;€ 62,02;;
E01004g;"diametro nominale 2 1/2"", spess. 3,2 mm";m;€ 79,10;;
E01004h;diametro nominale 3'', spess. 3,6 mm;m;€ 102,61;;
E01004i;diametro nominale 4'', spess. 4 mm;m;€ 144,33;;
E01005;rivestito esternamente in polietilene triplo strato:;;;;
E01005a;diametro nominale 3/4'', spess. 2,3 mm;m;€ 23,31;;
E01005b;diametro nominale 1'', spess. 2,9 mm;m;€ 32,46;;
E01005c;"diametro nominale 1 1/4"", spess. 2,9 mm";m;€ 40,55;;
E01005d;"diametro nominale 1 1/2"", spess. 2,9 mm";m;€ 46,68;;
E01005e;diametro nominale 2'', spess. 3,2 mm;m;€ 63,86;;
E01005f;"diametro nominale 2 1/2"", spess. 3,2 mm";m;€ 81,33;;
E01005g;diametro nominale 3'', spess. 3,6 mm;m;€ 105,50;;
E01005h;diametro nominale 4'', spess. 4 mm;m;€ 112,24;;
;TUBAZIONI IN POLIETILENE;;;;
;Tubo in polietilene ad alta densità PE 100 conforme alla norma UNI EN 12201, per condotte d'approvigionamento idrico, escluse le valvole, le opere murarie, scavi e reinterri:;;;;
E01007;per pressioni SDR 17 (PN 10) con manicotti e raccordi elettrici a saldare:;;;;
E01007a;diametro esterno 125 mm;m;€ 33,56;;
E01007b;diametro esterno 140 mm;m;€ 38,13;;
E01007c;diametro esterno 160 mm;m;€ 45,39;;
E01007d;diametro esterno 180 mm;m;€ 55,87;;
E01007e;diametro esterno 200 mm;m;€ 67,49;;
E01007f;diametro esterno 225 mm;m;€ 81,54;;
E01007g;diametro esterno 250 mm;m;€ 104,22;;
E01008;per pressioni SDR 11 (PN 16) con manicotti e raccordi elettrici a saldare:;;;;
E01008a;diametro esterno 25 mm;m;€ 8,42;;
E01008b;diametro esterno 32 mm;m;€ 9,63;;
E01008c;diametro esterno 40 mm;m;€ 10,96;;
E01008d;diametro esterno 50 mm;m;€ 13,32;;
E01008e;diametro esterno 63 mm;m;€ 16,38;;
E01008f;diametro esterno 75 mm;m;€ 20,13;;
E01008g;diametro esterno 90 mm;m;€ 26,97;;
E01008h;diametro esterno 110 mm;m;€ 36,82;;
E01008i;diametro esterno 125 mm;m;€ 46,97;;
E01008j;diametro esterno 140 mm;m;€ 53,14;;
E01008k;diametro esterno 160 mm;m;€ 65,30;;
E01008l;diametro esterno 180 mm;m;€ 79,48;;
E01009;per pressioni SDR 11 (PN 16) con manicotti e raccordi a pressare in polipropilene:;;;;
E01009a;diametro esterno 25 mm;m;€ 6,43;;
E01009b;diametro esterno 32 mm;m;€ 7,35;;
E01009c;diametro esterno 40 mm;m;€ 9,40;;
E01009d;diametro esterno 50 mm;m;€ 11,95;;
E01009e;diametro esterno 63 mm;m;€ 15,50;;
E01010;per pressioni SDR 7,4 (PN 25) con manicotti e raccordi a saldare:;;;;
E01010a;diametro esterno 25 mm;m;€ 8,95;;
E01010b;diametro esterno 32 mm;m;€ 10,44;;
E01010c;diametro esterno 40 mm;m;€ 12,20;;
E01010d;diametro esterno 50 mm;m;€ 15,36;;
E01010e;diametro esterno 63 mm;m;€ 19,52;;
E01010f;diametro esterno 75 mm;m;€ 24,43;;
E01010g;diametro esterno 90 mm;m;€ 32,96;;
E01010h;diametro esterno 110 mm;m;€ 46,03;;
E01010i;diametro esterno 125 mm;m;€ 58,59;;
E01010j;diametro esterno 140 mm;m;€ 67,32;;
E01010k;diametro esterno 160 mm;m;€ 83,39;;
E01010l;diametro esterno 180 mm;m;€ 102,38;;
E01010m;diametro esterno 200 mm;m;€ 127,43;;
E01012;Tubo in polietilene alta densità, conforme alla norma UNI EN 1519, per impianti di scarico di acque calde e fredde e per colonne di ventilazione sia all'interno che all'esterno di fabbricati, in opera compresa quota parte di raccorderia e materiali accessori per il montaggio, esclusi eventuali pezzi speciali, opere murarie, scavi e rinterri:;;;;
E01012a;diametro 32 mm;m;€ 16,00;;
E01012b;diametro 40 mm;m;€ 16,88;;
E01012c;diametro 50 mm;m;€ 18,06;;
E01012d;diametro 63 mm;m;€ 19,88;;
E01012e;diametro 75 mm;m;€ 21,48;;
E01012f;diametro 90 mm;m;€ 25,17;;
E01012g;diametro 110 mm;m;€ 31,69;;
E01012h;diametro 125 mm;m;€ 44,05;;
E01012i;diametro 160 mm;m;€ 60,95;;
E01012j;diametro 200 mm;m;€ 72,31;;
E01012k;diametro 250 mm;m;€ 101,58;;
E01012l;diametro 315 mm;m;€ 145,48;;
;TUBAZIONI IN PVC;;;;
;Tubo in pvc-u rigido per condotte in pressione di acqua potabile, fognature e scarichi in pressione, secondo norma UNI EN 1452, completi di anello di giunzione in materiale elastomerico, inamovibile, a norma UNI EN 681-1, comprensivo di manicotti, raccordi, escluse le valvole ed eventuali scavi e rinterri:;;;;
E01013;SDR 13,6 (PN 16):;;;;
E01013a;diametro esterno 50 mm, spessore 3,7 mm;m;€ 13,28;;
E01013b;diametro esterno 63 mm, spessore 4,7 mm;m;€ 14,77;;
E01013c;diametro esterno 75 mm, spessore 5,6 mm;m;€ 16,82;;
E01013d;diametro esterno 90 mm, spessore 6,7 mm;m;€ 19,30;;
E01014;SDR 13,6 (PN 20):;;;;
E01014a;diametro esterno 110 mm, spessore 8,2 mm;m;€ 24,17;;
E01014b;diametro esterno 125 mm, spessore 9,3 mm;m;€ 28,99;;
E01014c;diametro esterno 140 mm, spessore 10,4 mm;m;€ 33,49;;
E01014d;diametro esterno 160 mm, spessore 11,9 mm;m;€ 40,66;;
E01014e;diametro esterno 180 mm, spessore 13,4 mm;m;€ 51,34;;
E01014f;diametro esterno 200 mm, spessore 14,9 mm;m;€ 61,47;;
E01015;SDR 21 (PN 10):;;;;
E01015a;diametro esterno 50 mm, spessore 2,4 mm;m;€ 12,47;;
E01015b;diametro esterno 63 mm, spessore 3,0 mm;m;€ 13,41;;
E01015c;diametro esterno 75 mm, spessore 3,6 mm;m;€ 14,95;;
E01015d;diametro esterno 90 mm, spessore 4,3 mm;m;€ 16,84;;
E01016;SDR 26 (PN 10):;;;;
E01016a;diametro esterno 110 mm, spessore 4,2 mm;m;€ 18,61;;
E01016b;diametro esterno 125 mm, spessore 4,8 mm;m;€ 21,82;;
E01016c;diametro esterno 140 mm, spessore 5,4 mm;m;€ 24,58;;
E01016d;diametro esterno 160 mm, spessore 6,2 mm;m;€ 29,08;;
E01016e;diametro esterno 180 mm, spessore 6,9 mm;m;€ 36,31;;
E01016f;diametro esterno 200 mm, spessore 7,7 mm;m;€ 43,25;;
;TUBAZIONI IN POLIBUTILENE;;;;
E01017;Tubo in polibutilene, costruito secondo norme DIN 16968 e 16969, ad innesto rapido, fornito e posto in opera per condotte in pressione di acqua calda e fredda ad uso potabile:;;;;
E01017a;diametro esterno 10 mm, diametro interno 6,8 mm;m;€ 9,46;;
E01017b;diametro esterno 15 mm, diametro interno 11 mm;m;€ 10,10;;
E01017c;diametro esterno 22 mm, diametro interno 18 mm;m;€ 12,41;;
E01017d;diametro esterno 28 mm, diametro interno 22 mm;m;€ 18,38;;
;TUBI IN POLIPROPILENE PP-R;;;;
E01019;Tubo in polipropilene PP-R per trasporto di acqua sanitaria calda e fredda, rispondente alla norma UNI EN 15874, SDR 6, colore verde, in opera comprese saldature dei giunti per polifusione e pezzi speciali, delle seguenti dimensioni:;;;;
E01019a;diametro 16 x 2,7 mm;m;€ 10,81;;
E01019b;diametro 20 x 3,4 mm;m;€ 10,66;;
E01019c;diametro 25 x 4,2 mm;m;€ 12,82;;
E01019d;diametro 32 x 5,4 mm;m;€ 15,18;;
E01019e;diametro 40 x 6,7 mm;m;€ 19,68;;
E01019f;diametro 50 x 8,3 mm;m;€ 24,81;;
E01019g;diametro 63 x 10,5 mm;m;€ 36,23;;
E01019h;diametro 75 x 12,5 mm;m;€ 49,98;;
E01019i;diametro 90 x 15,0 mm;m;€ 66,96;;
E01019j;diametro 110 x 18,3 mm;m;€ 95,82;;
E01020;Tubo in polipropilene PP-R prodotto per estrusione con strato intermedio fibrorinforzato (contenuto di fibre rinforzanti 18% ±2%) per trasporto di acqua sanitaria calda e fredda, rispondente al D.M. 174/04, SDR 7,4, indice di dilatazione lineare alfa = 0,035 mm/mK, colore verde con linee verde scuro, in opera comprese saldature dei giunti per polifusione e pezzi speciali, delle seguenti dimensioni:;;;;
E01020a;diametro 20 x 2,8 mm;m;€ 11,66;;
E01020b;diametro 25 x 3,5 mm;m;€ 13,21;;
