G;;INTERVENTI DI PICCOLA MANUTENZIONE;;;;;
;;Nella piccola manutenzione si devono intendere ricompresi quegli interventi isolati, caratterizzati da semplicità e non ripetitività, che non richiedono l’installazione di un cantiere specifico per la loro esecuzione;;;;;
;;;;;;;
;1.01;DEMOLIZIONI;;;;;
;;;;;;;
G;1.01.1;"Demolizione di pavimenti interni, comprese le opere provvisionali di protezione, la movimentazione con qualsiasi mezzo delle macerie nell'ambito del cantiere; la cernita, pulizia ed accatastamento del materiale di recupero; il carico e trasporto delle macerie agli impianti di stoccaggio, di recupero o a discarica. Esclusi gli oneri di smaltimento:";;;;;
G;1.01.1.a;in piastrelle di cemento, ceramica, cotto, con relativa malta di allettamento;mq;€ 19,01;;;
G;1.01.1.b;resilienti (PVC, linoleum, gomma ecc.);mq;€ 9,37;;;
G;1.01.1.c;in legno, moquette;mq;€ 7,68;;;
G;1.01.1.d;in lastre di pietra naturale, con relativa malta di allettamento;mq;€ 27,40;;;
;;;;;;;
;1.02;RIMOZIONI;;;;;
;;;;;;;
G;1.02.1;"Rimozione, da supporti che vengono conservati, di rivestimenti con relativa malta di allettamento o collante. Compresi il carico, trasporto ed accatastamento delle macerie nell'ambito del cantiere; pulizia ed accatastamento del materiale riutilizzabile; il carico e trasporto agli impianti di stoccaggio, di recupero o a discarica. Esclusi gli oneri di smaltimento";;;;;
G;1.02.1.a;in piastrelle di ceramica, gres, marmo;mq;€ 14,78;;;
G;1.02.1.b;tessili, moquettes e simili;mq;€ 5,83;;;
G;1.02.1.c;in teli vinilici, linoleum e simili;mq;€ 7,64;;;
;;;;;;;
G;1.02.2;"Rimozione, di zoccolini, da supporti che vengono conservati, compresi: le opere di protezione, la cernita e pulizia del materiale riutilizzabili; il carico, trasporto ed accatastamento delle macerie nell'ambito del cantiere; il carico, trasporto agli impianti di stoccaggio, di recupero o a discarica. Esclusi gli oneri di smaltimento";;;;;
G;1.02.2.a;in piastrelle di ceramica, gres, marmo;mq;€ 2,62;;;
G;1.02.2.b;in legno, vinilici incollati o chiodati;mq;€ 1,13;;;
G;1.02.2.c;in legno, vinilici, avvitati;mq;€ 1,74;;;
;;;;;;;
G;1.02.3;Rimozione di apparecchi igienico-sanitari, incluso lo smontaggio delle apparecchiature e degli accessori. Compreso l'abbassamento, il carico e trasporto ad impianti di stoccaggio, di recupero o a discarica. Esclusi gli oneri di smaltimento.;cad;€ 65,39;;;
;;;;;;;
